album,year,sales,streams,length,frusciante
The Red Hot Chili Peppers,1984-08-10,630000,33882636,31:54,false
Freaky Styley,1985-08-16,890000,27778958,39:50,false
The Uplift Mofo Party Plan,1987-09-29,1080000,41244216,38:19,false
Mother's Milk,1989-08-16,2630000,203836897,44:52,true
Blood Sugar Sex Magik,1991-09-24,14430000,1715866645,73:42,true
One Hot Minute,1995-09-12,5850000,228369395,61:14,false
Californication,1999-06-08,16270000,2976311136,56:24,true
By The Way,2002-07-09,9450000,1840629332,68:27,true
Stadium Arcadium,2006-05-09,7130000,2215202866,122:19,true
I'm With You,2011-08-26,2230000,400806157,59:15,false
The Getaway,2016-06-17,1340000,1044760258,53:41,false
Unlimited Love,2022-04-01,561000,245839870,73:04,true
Return of the Dream Canteen,2022-10-14,140000,71094347,75:02,true